confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Exact counterpart (),,,48107,{},,vállo,48108,113374,43097
,Exact counterpart (),,,48108,{},,lapocka,48109,113769,42382
,Super-counterpart (),,,48109,{},,va,48110,114559,43083
,Sub-counterpart (),,,48110,{},,músi,48111,114559,42518
,Exact counterpart (),,,48111,{},,khak,48112,114954,42288
,Exact counterpart (),,,48112,{},,keňeka,48113,115349,42258
,Exact counterpart (),,,48113,{},,čukló,48114,115744,41875
,Super-counterpart (),,,48114,{},,va,48115,116139,43083
,Exact counterpart (),,,48115,{},,burňik,48116,116534,41771
,Super-counterpart (),,,48116,{},,angušť,48117,116929,41646
,Exact counterpart (),,,48117,{},,phuro angušť,48118,117324,42709
,Super-counterpart (),,,48118,{},,naj,48119,117719,42527
,Super-counterpart (),,,48119,{},,naj,48120,118114,42527
,Super-counterpart (),,,48120,{},,pro,48121,118509,42756
,Exact counterpart (),,,48121,{},,čang,48122,118904,41788
,Super-counterpart (),,,48122,{},,combo,48123,118904,41859
,Exact counterpart (),,,48123,{},,térďa,48124,119694,43003
,Super-counterpart (),,,48124,{},,pro,48125,120089,42756
,Exact counterpart (),,,48125,{},,boka (1),48126,120484,41750
,Super-counterpart (),,,48126,{},,šarka,48127,120879,42835
,Exact counterpart (),,,48127,{},,ňoma,48128,121274,42565
,Super-counterpart (),,,48128,{},,lípíši,48129,121274,42415
,Super-counterpart (),,,48129,{},,angušť,48130,121669,41646
,Super-counterpart (),,,48130,{},,paprečko,48131,121669,42637
,Exact counterpart (),,,48131,{},,sárňa,48132,122064,42836
,Exact counterpart (),,,48132,{},,pór,48133,122459,42740
,Exact counterpart (),,,48133,{},,kolin,48134,122854,42337
,Exact counterpart (),,,48134,{},,mello,48135,122854,42461
,Super-counterpart (),,,48135,{},,čúči,48136,123249,41868
,Super-counterpart (),,,48136,{},,čúči,48137,123644,41868
,Exact counterpart (),,,48137,{},,čuččengero semo,48138,123644,41867
,Super-counterpart (),,,48138,{},,čúči,48139,124039,41868
,Exact counterpart (),,,48139,{},,puppa,48140,124434,42764
,Exact counterpart (),,,48140,{},,pér,48141,575919,42667
,Exact counterpart (),,,48141,{},,jílo,48142,124829,42200
,Exact counterpart (),,,48142,{},,tidó,48143,125224,43022
,Exact counterpart (),,,48143,{},,búko,48144,125619,41766
,Exact counterpart (),,,48144,{},,májo,48145,125619,42441
,Exact counterpart (),,,48145,{},,vešó,48146,126014,43119
,Sub-counterpart (),,,48146,{},,"sléžinka, slíženka",48147,126409,42911
,Exact counterpart (),,,48147,{},,ďomra,48148,126804,41939
,Super-counterpart (),,,48148,{},,gój,48149,127199,42072
,Exact counterpart (),,,48149,{},,derko,48150,127594,41744
,Sub-counterpart (),,,48150,{},,boka (2),48151,127989,41751
,Sub-counterpart (),,,48151,{},,forgó (2),48152,127989,42038
,Sub-counterpart (),,,48152,{},,forgókokal,48153,127989,42039
,Super-counterpart (),,,48153,{},,bul,48154,128384,41767
,Super-counterpart (),,,48154,{},,žila,48155,552219,43164
,Exact counterpart (),,,48155,{},,míha,48156,128779,42469
,Exact counterpart (),,,48156,{},,péle,48157,129174,42648
,Exact counterpart (),,,48157,{},,kár,48158,129569,42231
,Super-counterpart (),,,48158,{},,mindž,48159,545504,42476
,Super-counterpart (),,,48159,{},,mindž,48160,554984,42476
,Exact counterpart (),,,48160,{},,lílegzinen,48161,129964,42410
,Exact counterpart (),,,48161,{},,ášítozinen,48162,130359,41660
,Exact counterpart (),,,48162,{},,čuklinen,48163,130754,41874
,Exact counterpart (),,,48164,{},,kėhėginen,48165,131149,42253
,Exact counterpart (),,,48165,{},,triskinen,48166,131544,43047
,Exact counterpart (),,,48166,{},,iddzadinen,48167,131939,42153
,Exact counterpart (),,,48167,{},,čhungeren,48168,132334,41827
,Exact counterpart (),,,48168,{},,čhanden,48169,132729,41815
,Exact counterpart (),,,48169,{},,danderen,48170,133124,41892
,Exact counterpart (),,,48170,{},,čáren,48171,133519,41790
,Para-counterpart (),,,48171,{},,ňálozinen,48172,133519,42534
,Exact counterpart (),,,48172,{},,ňáli čujon,48173,133914,42532
,Super-counterpart (),,,48173,{},,soven,48174,134309,42938
,Exact counterpart (),,,48174,{},,horšoginen,48175,134704,42147
,Exact counterpart (),,,48175,{},,dikhen súno,48176,135099,41923
,Super-counterpart (),,,48176,{},,ušťen,48177,135494,43077
,Exact counterpart (),,,48177,{},,khaňaren,48178,135889,42293
, (),,,48178,{},,khaň,48179,135889,42292
,Exact counterpart (),,,48179,{},,mutren,48180,136284,42522
,Exact counterpart (),,,48180,{},,hijen,48181,136679,42136
,Exact counterpart (),,,48181,{},,kúren,48182,137074,42366
,Super-counterpart (),,,48182,{},,soven,48183,137074,42938
,Exact counterpart (),,,48183,{},,rezdaven pe/pumen,48184,137469,42793
,Exact counterpart (),,,48184,{},,rezdan,48185,137469,42791
,Exact counterpart (),,,48185,{},,tresinen pe/pumen,48186,137469,43043
,Exact counterpart (),,,48186,{},,firdinen,48187,137864,42027
,Exact counterpart (),,,48187,{},,firistinen,48188,137864,42029
,Super-counterpart (),,,48188,{},,oven (1),48189,138654,42608
,Exact counterpart (),,,48195,{},,khamno,48196,139049,42290
,Exact counterpart (),,,48197,{},,peren khamni,48198,139444,42670
,Exact counterpart (),,,48198,{},,dživen,48199,139839,41970
,Exact counterpart (),,,48199,{},,íleto,48200,569204,42165
,Exact counterpart (),,,48200,{},,meren,48201,140234,42465
,Sub-counterpart (),,,48201,{},,murdajon,48202,140234,42511
,Exact counterpart (),,,48202,{},,múlo (1),48203,574734,42510
,Sub-counterpart (),,,48203,{},,murdálo,48204,574734,42512
,Super-counterpart (),,,48204,{},,tasson,48205,140629,42985
,Exact counterpart (),,,48205,{},,murdaren,48206,141024,42513
,Sub-counterpart (),,,48206,{},,ďilkolinen,48207,141024,41927
,Super-counterpart (),,,48207,{},,múlo (2),48208,141419,42491
,Exact counterpart (),,,48208,{},,dėgo,48209,569599,41901
,Exact counterpart (),,,48209,{},,tėmėtinen,48210,141814,42998
,Exact counterpart (),,,48210,{},,šíra,48211,142209,42900
,Super-counterpart (),,,48211,{},,zorálo,48212,142604,43169
,Exact counterpart (),,,48212,{},,ďengavo,48213,142999,41909
,Exact counterpart (),,,48213,{},,sásto,48214,143394,42840
,Exact counterpart (),,,48214,{},,nasválo,48215,143789,42545
,Exact counterpart (),,,48215,{},,lázo,48216,144184,42388
,Exact counterpart (),,,48216,{},,nátha,48217,144974,42546
,Exact counterpart (),,,48217,{},,nasvalipe,48218,569994,42544
,Exact counterpart (),,,48218,{},,šėbo,48219,145369,42846
,Super-counterpart (),,,48219,{},,bėlešėto,48220,145369,41714
,Exact counterpart (),,,48220,{},,kíknipe,48221,145764,42305
,Exact counterpart (),,,48221,{},,šulipe,48222,146159,42952
,Exact counterpart (),,,48222,{},,handžibe,48223,146554,42110
,Exact counterpart (),,,48223,{},,kaparinen,48224,575129,42215
,Exact counterpart (),,,48224,{},,haruven,48225,575129,42117
,Exact counterpart (),,,48225,{},,hólaga,48226,146949,42141
,Super-counterpart (),,,48226,{},,himló,48227,147344,42137
,Exact counterpart (),,,48227,{},,geňňo,48228,147739,42062
,Super-counterpart (),,,48228,{},,jėlo,48229,148134,42197
,Exact counterpart (),,,48229,{},,sasťaren,48230,148529,42839
,Super-counterpart (),,,48230,{},,orvoši,48231,148924,42603
,Exact counterpart (),,,48231,{},,orvoššágo,48232,149319,42604
,Exact counterpart (),,,48232,{},,ďócceri,48233,149319,41936
,Exact counterpart (),,,48233,{},,mirgo,48234,149714,42478
,Exact counterpart (),,,48234,{},,"fárotno, fárutno",48235,150109,42009
,Exact counterpart (),,,48235,{},,pihėlinen,48236,150504,42711
,Exact counterpart (),,,48236,{},,luštavo,48237,150899,42430
